Dato og tid;Tid siden start (sek);Trykk - barometer (bar);Trykk - absolutt trykk maaler (bar);Temperatur (gr Celsius)
06.11.2021 14:45;1350;;100,417;17,51
06.11.2021 14:45;1360;;100,428;17,57
06.11.2021 14:45;1370;;100,434;17,27
06.11.2021 14:46;1380;101;100,441;17,59
06.11.2021 14:46;1390;;100,426;17,62
06.11.2021 14:46;1400;;100,415;17,69
06.11.2021 14:46;1410;;100,434;17,78
06.11.2021 14:46;1420;;100,419;17,86
06.11.2021 14:46;1430;;100,441;17,8
06.11.2021 14:47;1440;101;100,448;17,69
06.11.2021 14:47;1450;;100,434;17,83
06.11.2021 14:47;1460;;100,424;17,45
06.11.2021 14:47;1470;;100,41;17,52
06.11.2021 14:47;1480;;100,437;17,52
06.11.2021 14:47;1490;;100,428;17,6
06.11.2021 14:48;1500;101,01;100,417;17,85
06.11.2021 14:48;1510;;100,434;17,84
06.11.2021 14:48;1520;;100,432;17,92
06.11.2021 14:48;1530;;100,456;17,92
06.11.2021 14:48;1540;;100,439;17,76
06.11.2021 14:48;1550;;100,404;17,73
06.11.2021 14:49;1560;101,01;100,448;17,61
06.11.2021 14:49;1570;;100,404;17,77
06.11.2021 14:49;1580;;100,434;17,66
06.11.2021 14:49;1590;;100,441;17,43
06.11.2021 14:49;1600;;100,43;17,61
06.11.2021 14:49;1610;;100,41;17,59
06.11.2021 14:50;1620;101;100,428;17,7
06.11.2021 14:50;1630;;100,408;17,81
06.11.2021 14:50;1640;;100,432;17,78
06.11.2021 14:50;1650;;100,441;17,88
06.11.2021 14:50;1660;;100,478;17,89
06.11.2021 14:50;1670;;100,424;17,83
06.11.2021 14:51;1680;101;100,454;17,71
06.11.2021 14:51;1690;;100,43;17,59
06.11.2021 14:51;1700;;100,45;17,52
06.11.2021 14:51;1710;;100,448;17,38
06.11.2021 14:51;1720;;100,454;17,4
06.11.2021 14:51;1730;;100,432;17,52
06.11.2021 14:52;1740;101;100,428;17,23
06.11.2021 14:52;1750;;100,434;17,12
06.11.2021 14:52;1760;;100,467;17,22
06.11.2021 14:52;1770;;100,458;17,5
06.11.2021 14:52;1780;;100,41;17,23
06.11.2021 14:52;1790;;100,48;17,42
06.11.2021 14:53;1800;101;100,417;17,58
06.11.2021 14:53;1810;;100,461;17,69
06.11.2021 14:53;1820;;100,43;17,7
06.11.2021 14:53;1830;;100,434;17,7
06.11.2021 14:53;1840;;100,476;17,64
06.11.2021 14:53;1850;;100,445;17,58
06.11.2021 14:54;1860;101,01;100,465;17,82
06.11.2021 14:54;1870;;100,443;17,87
06.11.2021 14:54;1880;;100,448;17,73
06.11.2021 14:54;1890;;100,437;17,58
06.11.2021 14:54;1900;;100,452;17,47
06.11.2021 14:54;1910;;100,463;17,53
06.11.2021 14:55;1920;101,02;100,439;17,6
06.11.2021 14:55;1930;;100,439;17,69
06.11.2021 14:55;1940;;100,458;17,58
06.11.2021 14:55;1950;;100,445;17,5
06.11.2021 14:55;1960;;100,485;17,51
06.11.2021 14:55;1970;;100,461;17,59
06.11.2021 14:56;1980;101,02;100,48;17,59
06.11.2021 14:56;1990;;100,502;17,6
06.11.2021 14:56;2000;;100,443;17,56
06.11.2021 14:56;2010;;100,434;17,37
06.11.2021 14:56;2020;;100,472;17,54
06.11.2021 14:56;2030;;100,456;17,59
06.11.2021 14:57;2040;101,02;100,465;17,35
06.11.2021 14:57;2050;;100,441;17,21
06.11.2021 14:57;2060;;100,487;17,28
06.11.2021 14:57;2070;;100,485;17,42
06.11.2021 14:57;2080;;100,441;17,44
06.11.2021 14:57;2090;;100,469;17,5
06.11.2021 14:58;2100;101,02;100,458;17,64
06.11.2021 14:58;2110;;100,48;17,71
06.11.2021 14:58;2120;;100,445;17,76
06.11.2021 14:58;2130;;100,465;17,6
06.11.2021 14:58;2140;;100,458;17,63
06.11.2021 14:58;2150;;100,493;17,81
06.11.2021 14:59;2160;101,03;100,465;17,8
06.11.2021 14:59;2170;;100,456;17,85
06.11.2021 14:59;2180;;100,452;17,75
06.11.2021 14:59;2190;;100,456;17,65
06.11.2021 14:59;2200;;100,441;17,87
06.11.2021 14:59;2210;;100,478;17,98
06.11.2021 15:00;2220;101,04;100,456;18,07
06.11.2021 15:00;2230;;100,489;18,04
06.11.2021 15:00;2240;;100,48;18,02
06.11.2021 15:00;2250;;100,465;18,01
06.11.2021 15:00;2260;;100,454;18,05
06.11.2021 15:00;2270;;100,489;17,92
06.11.2021 15:01;2280;101,04;100,487;17,93
06.11.2021 15:01;2290;;100,478;18,04
06.11.2021 15:01;2300;;100,491;18,25
06.11.2021 15:01;2310;;100,496;18,31
06.11.2021 15:01;2320;;100,522;18,28
06.11.2021 15:01;2330;;100,456;18,27
06.11.2021 15:02;2340;101,04;100,509;18,43
06.11.2021 15:02;2350;;100,458;18,45
06.11.2021 15:02;2360;;100,487;18,12
06.11.2021 15:02;2370;;100,498;18,1
06.11.2021 15:02;2380;;100,48;18,1
06.11.2021 15:02;2390;;100,474;18,04
06.11.2021 15:03;2400;101,04;100,489;18,07
06.11.2021 15:03;2410;;100,493;18,13
06.11.2021 15:03;2420;;100,485;17,85
06.11.2021 15:03;2430;;100,483;17,8
06.11.2021 15:03;2440;;100,474;17,89
06.11.2021 15:03;2450;;100,461;18,05
06.11.2021 15:04;2460;101,04;100,472;18,18
06.11.2021 15:04;2470;;100,474;18,14
06.11.2021 15:04;2480;;100,478;17,8
06.11.2021 15:04;2490;;100,467;17,68
06.11.2021 15:04;2500;;100,487;17,81
06.11.2021 15:04;2510;;100,491;17,94
06.11.2021 15:05;2520;101,04;100,496;17,95
06.11.2021 15:05;2530;;100,496;18,03
06.11.2021 15:05;2540;;100,513;17,96
06.11.2021 15:05;2550;;100,454;17,67
06.11.2021 15:05;2560;;100,526;17,71
06.11.2021 15:05;2570;;100,469;17,71
06.11.2021 15:06;2580;101,05;100,493;17,67
06.11.2021 15:06;2590;;100,472;17,82
06.11.2021 15:06;2600;;100,476;18,1
06.11.2021 15:06;2610;;100,476;17,76
06.11.2021 15:06;2620;;100,478;17,69
06.11.2021 15:06;2630;;100,478;18,03
06.11.2021 15:07;2640;101,04;100,478;17,89
06.11.2021 15:07;2650;;100,489;17,74
06.11.2021 15:07;2660;;100,502;17,58
06.11.2021 15:07;2670;;100,496;17,75
06.11.2021 15:07;2680;;100,509;17,81
06.11.2021 15:07;2690;;100,467;17,97
06.11.2021 15:08;2700;101,04;100,5;17,83
06.11.2021 15:08;2710;;100,504;17,73
06.11.2021 15:08;2720;;100,513;17,87
06.11.2021 15:08;2730;;100,461;17,74
06.11.2021 15:08;2740;;100,48;17,88
06.11.2021 15:08;2750;;100,454;18,04
06.11.2021 15:09;2760;101,05;100,533;18,05
06.11.2021 15:09;2770;;100,476;18,25
06.11.2021 15:09;2780;;100,461;18,14
06.11.2021 15:09;2790;;100,463;17,99
06.11.2021 15:09;2800;;100,504;17,97
06.11.2021 15:09;2810;;100,463;17,83
06.11.2021 15:10;2820;101,05;100,483;17,94
06.11.2021 15:10;2830;;100,472;17,97
06.11.2021 15:10;2840;;100,465;17,92
06.11.2021 15:10;2850;;100,483;17,96
06.11.2021 15:10;2860;;100,476;18,02
06.11.2021 15:10;2870;;100,491;18,17
06.11.2021 15:11;2880;101,05;100,493;18,24
06.11.2021 15:11;2890;;100,472;18
06.11.2021 15:11;2900;;100,485;17,86
06.11.2021 15:11;2910;;100,509;17,85
06.11.2021 15:11;2920;;100,489;17,88
06.11.2021 15:11;2930;;100,517;18
06.11.2021 15:12;2940;101,06;100,502;18,02
06.11.2021 15:12;2950;;100,454;17,95
06.11.2021 15:12;2960;;100,522;17,9
06.11.2021 15:12;2970;;100,509;17,85
06.11.2021 15:12;2980;;100,476;17,76
06.11.2021 15:12;2990;;100,504;17,78
06.11.2021 15:13;3000;101,07;100,489;17,7
06.11.2021 15:13;3010;;100,496;17,66
06.11.2021 15:13;3020;;100,511;17,65
06.11.2021 15:13;3030;;100,5;17,64
06.11.2021 15:13;3040;;100,513;17,52
06.11.2021 15:13;3050;;100,498;17,33
06.11.2021 15:14;3060;101,06;100,526;17,29
06.11.2021 15:14;3070;;100,487;17,33
06.11.2021 15:14;3080;;100,502;17,34
06.11.2021 15:14;3090;;100,496;17,26
06.11.2021 15:14;3100;;100,493;17,29
06.11.2021 15:14;3110;;100,489;17,15
06.11.2021 15:15;3120;101,06;100,467;17,07
06.11.2021 15:15;3130;;100,496;17,25
06.11.2021 15:15;3140;;100,489;17,24
06.11.2021 15:15;3150;;100,524;17,22
06.11.2021 15:15;3160;;100,5;17,28
06.11.2021 15:15;3170;;100,476;17,34
06.11.2021 15:16;3180;101,06;100,524;17,27
06.11.2021 15:16;3190;;100,485;17,04
06.11.2021 15:16;3200;;100,483;16,87
06.11.2021 15:16;3210;;100,493;16,79
06.11.2021 15:16;3220;;100,483;16,88
06.11.2021 15:16;3230;;100,496;17,01
06.11.2021 15:17;3240;101,07;100,517;17,02
06.11.2021 15:17;3250;;100,522;17,05
06.11.2021 15:17;3260;;100,511;17,18
06.11.2021 15:17;3270;;100,511;17,17
06.11.2021 15:17;3280;;100,544;17,1
06.11.2021 15:17;3290;;100,48;17,01
06.11.2021 15:18;3300;101,07;100,496;16,93
06.11.2021 15:18;3310;;100,476;16,89
06.11.2021 15:18;3320;;100,478;16,94
06.11.2021 15:18;3330;;100,517;16,91
06.11.2021 15:18;3340;;100,489;16,99
06.11.2021 15:18;3350;;100,502;16,7
06.11.2021 15:19;3360;101,06;100,515;16,77
06.11.2021 15:19;3370;;100,493;16,86
06.11.2021 15:19;3380;;100,502;16,8
06.11.2021 15:19;3390;;100,496;16,87
06.11.2021 15:19;3400;;100,546;16,89
06.11.2021 15:19;3410;;100,509;16,93
06.11.2021 15:20;3420;101,06;100,487;16,98
06.11.2021 15:20;3430;;100,478;16,99
06.11.2021 15:20;3440;;100,485;17,01
06.11.2021 15:20;3450;;100,526;16,99
06.11.2021 15:20;3460;;100,509;17,04
06.11.2021 15:20;3470;;100,467;17,01
06.11.2021 15:21;3480;101,07;100,476;17,02
06.11.2021 15:21;3490;;100,513;17,05
06.11.2021 15:21;3500;;100,469;17,01
06.11.2021 15:21;3510;;100,504;17,08
06.11.2021 15:21;3520;;100,496;17,01
06.11.2021 15:21;3530;;100,522;16,84
06.11.2021 15:22;3540;101,06;100,515;16,88
06.11.2021 15:22;3550;;100,509;16,97
06.11.2021 15:22;3560;;100,491;17,06
06.11.2021 15:22;3570;;100,528;17,19
06.11.2021 15:22;3580;;100,5;16,98
06.11.2021 15:22;3590;;100,533;16,89
06.11.2021 15:23;3600;101,07;100,48;17,02
06.11.2021 15:23;3610;;100,509;17,23
06.11.2021 15:23;3620;;100,515;17,18
06.11.2021 15:23;3630;;100,517;17,11
06.11.2021 15:23;3640;;100,496;17,08
06.11.2021 15:23;3650;;100,548;17,21
06.11.2021 15:24;3660;101,07;100,544;17,32
06.11.2021 15:24;3670;;100,513;17,2
06.11.2021 15:24;3680;;100,487;17,15
06.11.2021 15:24;3690;;100,487;17,08
06.11.2021 15:24;3700;;100,513;16,93
06.11.2021 15:24;3710;;100,504;16,94
06.11.2021 15:25;3720;101,07;100,537;16,94
06.11.2021 15:25;3730;;100,502;16,97
06.11.2021 15:25;3740;;100,498;17
06.11.2021 15:25;3750;;100,461;17,05
06.11.2021 15:25;3760;;100,496;16,97
06.11.2021 15:25;3770;;100,487;16,91
06.11.2021 15:26;3780;101,07;100,511;16,79
06.11.2021 15:26;3790;;100,489;16,97
06.11.2021 15:26;3800;;100,539;16,93
06.11.2021 15:26;3810;;100,485;16,83
06.11.2021 15:26;3820;;100,513;16,89
06.11.2021 15:26;3830;;100,515;16,83
06.11.2021 15:27;3840;101,07;100,513;16,86
06.11.2021 15:27;3850;;100,504;16,82
06.11.2021 15:27;3860;;100,476;16,74
06.11.2021 15:27;3870;;100,502;16,82
06.11.2021 15:27;3880;;100,498;16,9
06.11.2021 15:27;3890;;100,48;16,84
06.11.2021 15:28;3900;101,06;100,509;16,83
06.11.2021 15:28;3910;;100,478;16,77
06.11.2021 15:28;3920;;100,509;16,71
06.11.2021 15:28;3930;;100,485;16,72
06.11.2021 15:28;3940;;100,522;16,65
06.11.2021 15:28;3950;;100,483;16,59
06.11.2021 15:29;3960;101,05;100,485;16,67
06.11.2021 15:29;3970;;100,526;16,74
06.11.2021 15:29;3980;;100,493;16,86
06.11.2021 15:29;3990;;100,489;16,69
06.11.2021 15:29;4000;;100,472;16,71
06.11.2021 15:29;4010;;100,493;16,73
06.11.2021 15:30;4020;101,06;100,504;16,67
06.11.2021 15:30;4030;;100,511;16,6
06.11.2021 15:30;4040;;100,509;16,68
06.11.2021 15:30;4050;;100,537;16,84
06.11.2021 15:30;4060;;100,502;16,79
06.11.2021 15:30;4070;;100,489;16,63
06.11.2021 15:31;4080;101,06;100,509;16,76
06.11.2021 15:31;4090;;100,483;16,82
06.11.2021 15:31;4100;;100,489;16,86
06.11.2021 15:31;4110;;100,498;16,77
06.11.2021 15:31;4120;;100,493;16,95
06.11.2021 15:31;4130;;100,498;16,95
06.11.2021 15:32;4140;101,06;100,478;16,97
06.11.2021 15:32;4150;;100,542;16,98
06.11.2021 15:32;4160;;100,52;16,9
06.11.2021 15:32;4170;;100,476;17,05
06.11.2021 15:32;4180;;100,491;16,95
06.11.2021 15:32;4190;;100,509;16,84
06.11.2021 15:33;4200;101,06;100,513;16,73
06.11.2021 15:33;4210;;100,52;16,76
06.11.2021 15:33;4220;;100,507;16,73
06.11.2021 15:33;4230;;100,509;16,68
06.11.2021 15:33;4240;;100,537;16,76
06.11.2021 15:33;4250;;100,507;16,82
06.11.2021 15:34;4260;101,06;100,513;16,85
06.11.2021 15:34;4270;;100,478;16,9
06.11.2021 15:34;4280;;100,491;17
06.11.2021 15:34;4290;;100,533;17,1
06.11.2021 15:34;4300;;100,528;17,05
06.11.2021 15:34;4310;;100,489;17,1
06.11.2021 15:35;4320;101,06;100,524;17,24
06.11.2021 15:35;4330;;100,5;17,2
06.11.2021 15:35;4340;;100,509;17,09
06.11.2021 15:35;4350;;100,522;17,17
06.11.2021 15:35;4360;;100,483;17,31
06.11.2021 15:35;4370;;100,483;17,31
06.11.2021 15:36;4380;101,05;100,498;17,18
06.11.2021 15:36;4390;;100,48;17,04
06.11.2021 15:36;4400;;100,524;17,03
06.11.2021 15:36;4410;;100,485;16,8
06.11.2021 15:36;4420;;100,504;16,77
06.11.2021 15:36;4430;;100,483;16,86
06.11.2021 15:37;4440;101,06;100,511;17,02
06.11.2021 15:37;4450;;100,507;16,92
06.11.2021 15:37;4460;;100,472;16,82
06.11.2021 15:37;4470;;100,5;16,78
06.11.2021 15:37;4480;;100,489;16,76
06.11.2021 15:37;4490;;100,48;16,81
06.11.2021 15:38;4500;101,05;100,542;16,86
06.11.2021 15:38;4510;;100,478;16,88
06.11.2021 15:38;4520;;100,48;17,04
06.11.2021 15:38;4530;;100,493;16,86
06.11.2021 15:38;4540;;100,509;17,02
06.11.2021 15:38;4550;;100,487;17,18
06.11.2021 15:39;4560;101,05;100,502;17,2
06.11.2021 15:39;4570;;100,469;16,96
06.11.2021 15:39;4580;;100,524;16,97
06.11.2021 15:39;4590;;100,483;16,89
06.11.2021 15:39;4600;;100,502;17,01
06.11.2021 15:39;4610;;100,476;16,96
06.11.2021 15:40;4620;101,06;100,48;17,1
06.11.2021 15:40;4630;;100,498;17,14
06.11.2021 15:40;4640;;100,496;17,04
06.11.2021 15:40;4650;;100,522;16,88
06.11.2021 15:40;4660;;100,472;16,68
06.11.2021 15:40;4670;;100,498;16,64
06.11.2021 15:41;4680;101,06;100,52;16,78
06.11.2021 15:41;4690;;100,489;16,84
06.11.2021 15:41;4700;;100,533;16,87
06.11.2021 15:41;4710;;100,474;16,87
06.11.2021 15:41;4720;;100,502;16,97
06.11.2021 15:41;4730;;100,472;16,89
06.11.2021 15:42;4740;101,06;100,463;16,91
06.11.2021 15:42;4750;;100,502;16,99
06.11.2021 15:42;4760;;100,517;17,03
06.11.2021 15:42;4770;;100,496;17,05
06.11.2021 15:42;4780;;100,496;16,87
06.11.2021 15:42;4790;;100,507;17,01
06.11.2021 15:43;4800;101,05;100,496;16,94
06.11.2021 15:43;4810;;100,487;16,93
06.11.2021 15:43;4820;;100,48;16,89
06.11.2021 15:43;4830;;100,491;17,08
06.11.2021 15:43;4840;;100,533;17,15
06.11.2021 15:43;4850;;100,513;16,98
06.11.2021 15:44;4860;101,06;100,5;16,83
06.11.2021 15:44;4870;;100,483;16,82
06.11.2021 15:44;4880;;100,509;16,94
06.11.2021 15:44;4890;;100,491;17,03
06.11.2021 15:44;4900;;100,504;17,05
06.11.2021 15:44;4910;;100,509;17,19
06.11.2021 15:45;4920;101,06;100,491;17,24
06.11.2021 15:45;4930;;100,493;17,15
06.11.2021 15:45;4940;;100,511;17,15
06.11.2021 15:45;4950;;100,531;17,19
06.11.2021 15:45;4960;;100,452;17,26
06.11.2021 15:45;4970;;100,507;17,15
06.11.2021 15:46;4980;101,06;100,465;17,19
06.11.2021 15:46;4990;;100,511;17,2
06.11.2021 15:46;5000;;100,509;17,16
06.11.2021 15:46;5010;;100,531;17,14
06.11.2021 15:46;5020;;100,542;17,15
06.11.2021 15:46;5030;;100,496;17,19
06.11.2021 15:47;5040;101,06;100,513;17,09
06.11.2021 15:47;5050;;100,526;17,11
06.11.2021 15:47;5060;;100,52;17,06
06.11.2021 15:47;5070;;100,502;17,01
06.11.2021 15:47;5080;;100,52;17,02
06.11.2021 15:47;5090;;100,5;17,07
06.11.2021 15:48;5100;101,06;100,5;17,04
06.11.2021 15:48;5110;;100,491;16,93
06.11.2021 15:48;5120;;100,509;16,9
06.11.2021 15:48;5130;;100,496;16,87
06.11.2021 15:48;5140;;100,507;16,85
06.11.2021 15:48;5150;;100,493;16,92
06.11.2021 15:49;5160;101,06;100,531;16,86
06.11.2021 15:49;5170;;100,474;16,84
06.11.2021 15:49;5180;;100,507;16,91
06.11.2021 15:49;5190;;100,5;16,83
06.11.2021 15:49;5200;;100,496;16,79
06.11.2021 15:49;5210;;100,487;16,99
06.11.2021 15:50;5220;101,06;100,507;16,97
06.11.2021 15:50;5230;;100,496;17,04
06.11.2021 15:50;5240;;100,5;16,91
06.11.2021 15:50;5250;;100,522;16,91
06.11.2021 15:50;5260;;100,5;16,8
06.11.2021 15:50;5270;;100,5;16,92
06.11.2021 15:51;5280;101,07;100,515;16,83
06.11.2021 15:51;5290;;100,522;16,59
06.11.2021 15:51;5300;;100,491;16,59
06.11.2021 15:51;5310;;100,496;16,66
06.11.2021 15:51;5320;;100,509;16,76
06.11.2021 15:51;5330;;100,513;16,73
06.11.2021 15:52;5340;101,07;100,48;16,81
06.11.2021 15:52;5350;;100,502;16,82
06.11.2021 15:52;5360;;100,509;16,68
06.11.2021 15:52;5370;;100,489;16,72
06.11.2021 15:52;5380;;100,509;16,54
06.11.2021 15:52;5390;;100,491;16,32
06.11.2021 15:53;5400;101,07;100,557;16,41
06.11.2021 15:53;5410;;100,498;16,5
06.11.2021 15:53;5420;;100,504;16,51
06.11.2021 15:53;5430;;100,531;16,63
06.11.2021 15:53;5440;;100,504;16,67
06.11.2021 15:53;5450;;100,507;16,82
06.11.2021 15:54;5460;101,07;100,509;16,88
06.11.2021 15:54;5470;;100,531;16,65
06.11.2021 15:54;5480;;100,507;16,61
06.11.2021 15:54;5490;;100,507;16,58
06.11.2021 15:54;5500;;100,485;16,61
06.11.2021 15:54;5510;;100,524;16,75
06.11.2021 15:55;5520;101,07;100,5;16,67
06.11.2021 15:55;5530;;100,502;16,67
06.11.2021 15:55;5540;;100,489;16,7
06.11.2021 15:55;5550;;100,528;16,58
06.11.2021 15:55;5560;;100,487;16,46
06.11.2021 15:55;5570;;100,524;16,55
06.11.2021 15:56;5580;101,07;100,528;16,63
06.11.2021 15:56;5590;;100,513;16,59
06.11.2021 15:56;5600;;100,528;16,51
06.11.2021 15:56;5610;;100,535;16,64
06.11.2021 15:56;5620;;100,552;16,6
06.11.2021 15:56;5630;;100,504;16,59
06.11.2021 15:57;5640;101,07;100,504;16,45
06.11.2021 15:57;5650;;100,535;16,52
06.11.2021 15:57;5660;;100,493;16,7
06.11.2021 15:57;5670;;100,509;16,69
06.11.2021 15:57;5680;;100,502;16,68
06.11.2021 15:57;5690;;100,548;16,7
06.11.2021 15:58;5700;101,07;100,502;16,73
06.11.2021 15:58;5710;;100,504;16,63
06.11.2021 15:58;5720;;100,511;16,44
06.11.2021 15:58;5730;;100,524;16,51
06.11.2021 15:58;5740;;100,522;16,59
06.11.2021 15:58;5750;;100,504;16,72
06.11.2021 15:59;5760;101,07;100,496;16,75
06.11.2021 15:59;5770;;100,469;16,64
06.11.2021 15:59;5780;;100,5;16,57
06.11.2021 15:59;5790;;100,542;16,67
06.11.2021 15:59;5800;;100,555;16,8
06.11.2021 15:59;5810;;100,476;16,79
06.11.2021 16:00;5820;101,07;100,496;16,7
06.11.2021 16:00;5830;;100,511;16,63
06.11.2021 16:00;5840;;100,517;16,75
06.11.2021 16:00;5850;;100,509;16,73
06.11.2021 16:00;5860;;100,522;16,71
06.11.2021 16:00;5870;;100,493;16,7
06.11.2021 16:01;5880;101,07;100,55;16,65
06.11.2021 16:01;5890;;100,513;16,75
06.11.2021 16:01;5900;;100,52;16,81
06.11.2021 16:01;5910;;100,483;16,78
06.11.2021 16:01;5920;;100,522;16,77
06.11.2021 16:01;5930;;100,502;16,88
06.11.2021 16:02;5940;101,07;100,5;16,81
